number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,adjustmentFactorBackward1
495,2024-01-02,515880.SH,1.032,1.035,1.011,1.012,91781465.0,93843657.0,4.4158,1.0
494,2024-01-03,515880.SH,1.008,1.011,0.987,0.993,110856865.0,110774129.0,5.425,1.0
493,2024-01-04,515880.SH,0.993,0.995,0.979,0.984,72131500.0,71005632.0,3.5385,1.0
492,2024-01-05,515880.SH,0.982,0.984,0.95,0.958,135716600.0,131159900.0,6.6873,1.0
491,2024-01-08,515880.SH,0.954,0.955,0.932,0.933,93605600.0,88187138.0,4.6329,1.0
490,2024-01-09,515880.SH,0.942,0.953,0.933,0.94,89586500.0,84709576.0,4.4582,1.0
489,2024-01-10,515880.SH,0.934,0.943,0.917,0.925,91377700.0,84852774.0,4.5701,1.0
488,2024-01-11,515880.SH,0.925,0.954,0.925,0.952,102989000.0,97103290.0,5.1976,1.0
487,2024-01-12,515880.SH,0.946,0.946,0.929,0.932,80154900.0,75081610.0,4.0658,1.0
486,2024-01-15,515880.SH,0.922,0.943,0.921,0.933,74323200.0,69348861.0,3.7528,1.0
485,2024-01-16,515880.SH,0.93,0.937,0.919,0.935,74713500.0,69352098.0,3.7878,1.0
484,2024-01-17,515880.SH,0.929,0.939,0.917,0.918,85645300.0,79913850.0,4.3377,1.0
483,2024-01-18,515880.SH,0.907,0.962,0.905,0.956,224814600.0,208979654.0,11.1656,1.0
482,2024-01-19,515880.SH,0.95,0.963,0.948,0.95,134525728.0,128551938.0,6.708,1.0
481,2024-01-22,515880.SH,0.961,0.965,0.916,0.922,196023891.0,186102364.0,9.8929,1.0
480,2024-01-23,515880.SH,0.919,0.957,0.914,0.95,160499100.0,151043852.0,8.1082,1.0
479,2024-01-24,515880.SH,0.952,0.959,0.916,0.957,193453500.0,182105414.0,9.6463,1.0
478,2024-01-25,515880.SH,0.953,0.99,0.946,0.99,169669400.0,164593911.0,8.381,1.0
477,2024-01-26,515880.SH,0.976,0.982,0.958,0.962,153966300.0,149429368.0,7.6279,1.0
476,2024-01-29,515880.SH,0.96,0.96,0.91,0.912,168994700.0,156126752.0,8.3312,1.0
475,2024-01-30,515880.SH,0.903,0.912,0.882,0.883,161352499.0,145247820.0,8.0698,1.0
474,2024-01-31,515880.SH,0.873,0.888,0.86,0.86,124271199.0,108413175.0,6.209,1.0
473,2024-02-01,515880.SH,0.848,0.909,0.846,0.887,251078544.0,221644530.0,12.5135,1.0
472,2024-02-02,515880.SH,0.881,0.903,0.841,0.863,145162100.0,127838538.0,7.2783,1.0
471,2024-02-05,515880.SH,0.858,0.881,0.82,0.856,160258736.0,136647327.0,8.0151,1.0
470,2024-02-06,515880.SH,0.831,0.915,0.83,0.914,197281795.0,174131539.0,10.0069,1.0
469,2024-02-07,515880.SH,0.914,0.939,0.907,0.935,145421330.0,135009718.0,7.5135,1.0
468,2024-02-08,515880.SH,0.94,0.987,0.94,0.961,150229529.0,145036670.0,7.6591,1.0
467,2024-02-19,515880.SH,0.99,1.047,0.976,1.044,337198089.0,343046859.0,16.3098,1.0
466,2024-02-20,515880.SH,1.025,1.046,1.012,1.039,255601701.0,263772693.0,12.7707,1.0
465,2024-02-21,515880.SH,1.016,1.042,1.009,1.018,272929010.0,279717264.0,13.455,1.0
