number,time,thscode,open,high,low,close,amount,volume
2653,2015-04-16,ICZL.CFE,7681.0000000000,7790.0000000000,7480.2000000000,7707.8000000000,17928587.9880000018,116888.0000000000
2652,2015-04-17,ICZL.CFE,7722.0000000000,7918.8000000000,7631.2000000000,7758.2000000000,17813998.1799999997,114214.0000000000
2651,2015-04-20,ICZL.CFE,7760.0000000000,7857.0000000000,7582.0000000000,7622.2000000000,15254160.8159999996,98781.0000000000
2650,2015-04-21,ICZL.CFE,7650.2000000000,8147.0000000000,7640.2000000000,8140.4000000000,20937525.8480000012,132545.0000000000
2649,2015-04-22,ICZL.CFE,8158.0000000000,8237.8000000000,8104.4000000000,8189.8000000000,19763685.1719999984,121034.0000000000
2648,2015-04-23,ICZL.CFE,8193.0000000000,8378.8000000000,8160.4000000000,8265.6000000000,21853638.9120000005,132278.0000000000
2647,2015-04-24,ICZL.CFE,8247.8000000000,8349.8000000000,8123.8000000000,8327.2000000000,20778778.6000000015,126381.0000000000
2646,2015-04-27,ICZL.CFE,8368.0000000000,8548.0000000000,8292.0000000000,8347.2000000000,21056365.7080000006,125335.0000000000
2645,2015-04-28,ICZL.CFE,8308.0000000000,8419.0000000000,8011.6000000000,8147.0000000000,26892373.6799999997,164120.0000000000
2644,2015-04-29,ICZL.CFE,8138.0000000000,8309.0000000000,8079.0000000000,8302.2000000000,22060645.0879999995,134158.0000000000
2643,2015-04-30,ICZL.CFE,8320.0000000000,8408.0000000000,8291.2000000000,8338.8000000000,20066017.7679999992,120118.0000000000
2642,2015-05-04,ICZL.CFE,8370.2000000000,8527.4000000000,8202.4000000000,8347.2000000000,16908235.3480000012,101734.0000000000
2641,2015-05-05,ICZL.CFE,8334.8000000000,8345.0000000000,8090.0000000000,8145.0000000000,18081200.2679999992,109987.0000000000
2640,2015-05-06,ICZL.CFE,8168.0000000000,8280.6000000000,7970.0000000000,8040.8000000000,18309550.7239999995,111973.0000000000
2639,2015-05-07,ICZL.CFE,8020.0000000000,8068.0000000000,7901.0000000000,7911.4000000000,17460415.3480000012,109599.0000000000
2638,2015-05-08,ICZL.CFE,7933.4000000000,8171.4000000000,7921.0000000000,8171.2000000000,19436851.3599999994,121062.0000000000
2637,2015-05-11,ICZL.CFE,8170.0000000000,8508.0000000000,8144.0000000000,8489.8000000000,20742989.8440000005,124722.0000000000
2636,2015-05-12,ICZL.CFE,8499.6000000000,8648.0000000000,8415.4000000000,8647.8000000000,25910436.3839999996,152019.0000000000
2635,2015-05-13,ICZL.CFE,8595.0000000000,8779.0000000000,8492.0000000000,8695.8000000000,32836694.8759999983,189658.0000000000
2634,2015-05-14,ICZL.CFE,8689.0000000000,8813.6000000000,8645.2000000000,8760.4000000000,19694181.6119999997,112711.0000000000
2633,2015-05-15,ICZL.CFE,8610.0000000000,8718.0000000000,8482.0000000000,8579.8000000000,31349133.6799999997,182662.0000000000
2632,2015-05-18,ICZL.CFE,8640.6000000000,8822.2000000000,8580.0000000000,8798.4000000000,35519413.9399999976,202968.0000000000
2631,2015-05-19,ICZL.CFE,8805.6000000000,9154.4000000000,8736.2000000000,9120.8000000000,40824663.4160000011,228488.0000000000
2630,2015-05-20,ICZL.CFE,9121.8000000000,9463.6000000000,9111.2000000000,9286.8000000000,44755466.1319999993,239847.0000000000
2629,2015-05-21,ICZL.CFE,9311.4000000000,9755.0000000000,9301.0000000000,9734.6000000000,48754905.8119999990,256460.0000000000
2628,2015-05-22,ICZL.CFE,9783.0000000000,9867.4000000000,9525.0000000000,9741.2000000000,55343653.9680000022,285617.0000000000
2627,2015-05-25,ICZL.CFE,9610.0000000000,10020.8000000000,9455.4000000000,9966.6000000000,51735788.0040000007,262755.0000000000
2626,2015-05-26,ICZL.CFE,9988.0000000000,10535.0000000000,9986.2000000000,10532.2000000000,53256937.7360000014,258963.0000000000
2625,2015-05-27,ICZL.CFE,10598.4000000000,10718.0000000000,10366.0000000000,10552.0000000000,64688896.5000000000,307346.0000000000
2624,2015-05-28,ICZL.CFE,10580.0000000000,10758.8000000000,9818.0000000000,9977.2000000000,75149489.4200000018,360766.0000000000
2623,2015-05-29,ICZL.CFE,10126.8000000000,10370.0000000000,9901.0000000000,10121.0000000000,72048918.0479999930,354628.0000000000
2622,2015-06-01,ICZL.CFE,10170.2000000000,11089.8000000000,10168.0000000000,11025.6000000000,54454369.8599999994,257035.0000000000
2621,2015-06-02,ICZL.CFE,11058.0000000000,11385.0000000000,10830.0000000000,11250.4000000000,62287339.2920000032,280807.0000000000
2620,2015-06-03,ICZL.CFE,11281.2000000000,11436.0000000000,10809.0000000000,11103.2000000000,74854326.0000000000,334871.0000000000
2619,2015-06-04,ICZL.CFE,11127.0000000000,11255.4000000000,10030.0000000000,10869.2000000000,80577804.2000000030,376160.0000000000
2618,2015-06-05,ICZL.CFE,10900.0000000000,11258.0000000000,10540.0000000000,10949.0000000000,74130792.1920000017,337852.0000000000
2617,2015-06-08,ICZL.CFE,10840.0000000000,10939.2000000000,10384.2000000000,10602.6000000000,65023604.0000000000,305756.0000000000
2616,2015-06-09,ICZL.CFE,10599.0000000000,10950.0000000000,10453.0000000000,10700.4000000000,68998150.8199999928,322063.0000000000
2615,2015-06-10,ICZL.CFE,10608.0000000000,11326.0000000000,10600.0000000000,10987.8000000000,68588626.5999999940,312337.0000000000
2614,2015-06-11,ICZL.CFE,11094.8000000000,11290.0000000000,10920.2000000000,11258.8000000000,59460171.6599999964,267772.0000000000
2613,2015-06-12,ICZL.CFE,11293.0000000000,11585.0000000000,11221.8000000000,11427.8000000000,57857046.9120000005,253743.0000000000
2612,2015-06-15,ICZL.CFE,11461.4000000000,11560.0000000000,11023.0000000000,11228.6000000000,53809514.3760000020,237446.0000000000
2611,2015-06-16,ICZL.CFE,11238.0000000000,11238.0000000000,10656.2000000000,10839.0000000000,64520623.1199999973,296168.0000000000
2610,2015-06-17,ICZL.CFE,10837.6000000000,11117.6000000000,10504.4000000000,11033.4000000000,55085215.7400000021,255006.0000000000
2609,2015-06-18,ICZL.CFE,11055.0000000000,11148.0000000000,10662.4000000000,10672.6000000000,27549377.6079999991,125240.0000000000
2608,2015-06-19,ICZL.CFE,10535.0000000000,10609.6000000000,9950.0000000000,9990.0000000000,79434364.3480000049,385745.0000000000
2607,2015-06-23,ICZL.CFE,9977.0000000000,10100.0000000000,9375.2000000000,9862.6000000000,71480494.3359999955,363010.0000000000
2606,2015-06-24,ICZL.CFE,9888.0000000000,10214.4000000000,9710.8000000000,10058.0000000000,66996027.1599999964,336011.0000000000
2605,2015-06-25,ICZL.CFE,10101.0000000000,10140.0000000000,9335.0000000000,9381.6000000000,70106772.8799999952,355666.0000000000
2604,2015-06-26,ICZL.CFE,9380.0000000000,9390.0000000000,8629.0000000000,8629.0000000000,53269618.0520000011,296036.0000000000
2603,2015-06-29,ICZL.CFE,8788.0000000000,8800.0000000000,7768.4000000000,7768.4000000000,60805874.5279999971,370110.0000000000
2602,2015-06-30,ICZL.CFE,7768.0000000000,8629.0000000000,7557.0000000000,8346.0000000000,67628234.4440000057,417585.0000000000
2601,2015-07-01,ICZL.CFE,8396.0000000000,8800.0000000000,7509.4000000000,7509.4000000000,70461120.3240000010,418824.0000000000
2600,2015-07-02,ICZL.CFE,7910.0000000000,8277.0000000000,7323.8000000000,7667.8000000000,77971549.6840000004,502523.0000000000
2599,2015-07-03,ICZL.CFE,7718.0000000000,7936.4000000000,7072.4000000000,7404.8000000000,60831606.2239999995,407628.0000000000
2598,2015-07-06,ICZL.CFE,8167.2000000000,8167.2000000000,6701.6000000000,7440.0000000000,50322491.2800000012,345855.0000000000
2597,2015-07-07,ICZL.CFE,7303.6000000000,7438.0000000000,6516.2000000000,6516.2000000000,17572960.1880000010,126905.0000000000
2596,2015-07-08,ICZL.CFE,6202.0000000000,7280.2000000000,5956.6000000000,5956.6000000000,4715657.8720000004,37070.0000000000
2595,2015-07-09,ICZL.CFE,5956.6000000000,6552.2000000000,5900.0000000000,6552.2000000000,2166430.9679999999,17083.0000000000
2594,2015-07-10,ICZL.CFE,6894.0000000000,7207.4000000000,6888.0000000000,7207.4000000000,1587112.3799999999,11110.0000000000
2593,2015-07-13,ICZL.CFE,7500.0000000000,7928.0000000000,7307.4000000000,7569.6000000000,14731614.4719999991,95522.0000000000
2592,2015-07-14,ICZL.CFE,7749.0000000000,7970.0000000000,7532.0000000000,7645.0000000000,18036162.5399999991,116607.0000000000
2591,2015-07-15,ICZL.CFE,7613.6000000000,7655.8000000000,7002.0000000000,7136.0000000000,13604685.6480000000,92798.0000000000
2590,2015-07-16,ICZL.CFE,7120.0000000000,7765.0000000000,6989.0000000000,7531.8000000000,8009190.5640000002,54002.0000000000
2589,2015-07-17,ICZL.CFE,7224.8000000000,7857.6000000000,7224.8000000000,7857.6000000000,20334845.6200000010,134674.0000000000
2588,2015-07-20,ICZL.CFE,7920.0000000000,8087.8000000000,7413.2000000000,7589.0000000000,29288455.0520000011,189519.0000000000
2587,2015-07-21,ICZL.CFE,7587.8000000000,7935.2000000000,7402.2000000000,7715.0000000000,28608588.7479999997,185925.0000000000
2586,2015-07-22,ICZL.CFE,7715.0000000000,7918.0000000000,7572.2000000000,7773.0000000000,23470951.6119999997,151210.0000000000
2585,2015-07-23,ICZL.CFE,7802.2000000000,8498.6000000000,7702.2000000000,8386.0000000000,27812730.6200000010,172241.0000000000
2584,2015-07-24,ICZL.CFE,8414.2000000000,8538.0000000000,7912.4000000000,7980.0000000000,30913469.1440000013,185487.0000000000
2583,2015-07-27,ICZL.CFE,7978.8000000000,8180.0000000000,7341.4000000000,7341.4000000000,24350881.2760000005,153759.0000000000
2582,2015-07-28,ICZL.CFE,7198.0000000000,7528.8000000000,7034.0000000000,7221.0000000000,24526491.0720000006,168856.0000000000
2581,2015-07-29,ICZL.CFE,7300.6000000000,7715.8000000000,6955.2000000000,7702.8000000000,26281896.0560000017,179005.0000000000
2580,2015-07-30,ICZL.CFE,7700.0000000000,7731.0000000000,7146.0000000000,7232.0000000000,28624877.6000000015,190390.0000000000
2579,2015-07-31,ICZL.CFE,7275.0000000000,7642.2000000000,7210.0000000000,7399.0000000000,22160575.3159999996,149888.0000000000
2578,2015-08-03,ICZL.CFE,7335.0000000000,7351.0000000000,6990.0000000000,7065.2000000000,14093305.0920000002,98428.0000000000
2577,2015-08-04,ICZL.CFE,7088.8000000000,7708.6000000000,7069.2000000000,7657.6000000000,19528190.3559999987,131506.0000000000
2576,2015-08-05,ICZL.CFE,7677.0000000000,7737.2000000000,7460.0000000000,7486.4000000000,17922141.1519999988,118095.0000000000
2575,2015-08-06,ICZL.CFE,7415.0000000000,7727.8000000000,7361.0000000000,7545.4000000000,18596141.3720000014,122864.0000000000
2574,2015-08-07,ICZL.CFE,7600.0000000000,7966.0000000000,7583.8000000000,7851.2000000000,20625369.6640000008,131512.0000000000
2573,2015-08-10,ICZL.CFE,7855.0000000000,8440.0000000000,7855.0000000000,8330.0000000000,17616289.0839999989,108046.0000000000
2572,2015-08-11,ICZL.CFE,8356.8000000000,8396.2000000000,8185.2000000000,8200.6000000000,17245917.6359999999,103813.0000000000
2571,2015-08-12,ICZL.CFE,8202.2000000000,8330.0000000000,8051.0000000000,8082.2000000000,18646396.6719999984,113709.0000000000
2570,2015-08-13,ICZL.CFE,8100.0000000000,8387.0000000000,8052.6000000000,8345.8000000000,18549065.0000000000,112898.0000000000
2569,2015-08-14,ICZL.CFE,8388.0000000000,8527.8000000000,8308.0000000000,8397.0000000000,19702164.6400000006,116621.0000000000
2568,2015-08-17,ICZL.CFE,8406.0000000000,8690.0000000000,8200.0000000000,8659.0000000000,19408693.3399999999,114466.0000000000
2567,2015-08-18,ICZL.CFE,8689.0000000000,8761.6000000000,7770.2000000000,7802.0000000000,22615949.3640000001,136282.0000000000
2566,2015-08-19,ICZL.CFE,7793.8000000000,8198.8000000000,7603.2000000000,8151.2000000000,18569589.9919999987,117489.0000000000
2565,2015-08-20,ICZL.CFE,8122.0000000000,8298.4000000000,7993.8000000000,8003.0000000000,8900815.5840000007,54692.0000000000
2564,2015-08-21,ICZL.CFE,7500.2000000000,7619.0000000000,7060.0000000000,7207.4000000000,25558997.9239999987,173849.0000000000
2563,2015-08-24,ICZL.CFE,6953.0000000000,7044.6000000000,6523.6000000000,6523.6000000000,11979224.5840000007,89052.0000000000
2562,2015-08-25,ICZL.CFE,6249.0000000000,6380.0000000000,5871.4000000000,5871.4000000000,15872459.7880000006,128798.0000000000
2561,2015-08-26,ICZL.CFE,5869.0000000000,6150.0000000000,5301.2000000000,5400.2000000000,19551875.2360000014,169262.0000000000
2560,2015-08-27,ICZL.CFE,5700.0000000000,6079.4000000000,5510.0000000000,5928.2000000000,19305439.0920000002,166242.0000000000
2559,2015-08-28,ICZL.CFE,6101.2000000000,6402.6000000000,5884.0000000000,6402.6000000000,15805790.4560000002,129943.0000000000
2558,2015-08-31,ICZL.CFE,6387.0000000000,6388.0000000000,5852.0000000000,5961.4000000000,10390802.0240000002,85814.0000000000
2557,2015-09-01,ICZL.CFE,5960.0000000000,6195.6000000000,5363.2000000000,5373.0000000000,12201034.5040000007,109123.0000000000
