number,time,thscode,open,high,low,close,amount,volume
518,2024-01-02,IMZL.CFE,5895.0000000000,5902.0000000000,5832.0000000000,5833.6000000000,4039689.5480000000,34421.0000000000
517,2024-01-03,IMZL.CFE,5818.0000000000,5852.6000000000,5766.0000000000,5809.4000000000,4607970.6279999996,39674.0000000000
516,2024-01-04,IMZL.CFE,5800.0000000000,5802.2000000000,5730.0000000000,5765.2000000000,5037941.0000000000,43701.0000000000
515,2024-01-05,IMZL.CFE,5751.0000000000,5780.0000000000,5645.2000000000,5664.8000000000,5638129.1239999998,49324.0000000000
514,2024-01-08,IMZL.CFE,5649.0000000000,5653.6000000000,5462.6000000000,5480.2000000000,7056293.9160000002,63475.0000000000
513,2024-01-09,IMZL.CFE,5504.8000000000,5584.2000000000,5471.0000000000,5513.4000000000,7389234.6200000001,66881.0000000000
512,2024-01-10,IMZL.CFE,5500.4000000000,5567.4000000000,5412.2000000000,5484.6000000000,6701369.3559999997,60977.0000000000
511,2024-01-11,IMZL.CFE,5485.2000000000,5640.0000000000,5472.4000000000,5595.2000000000,7058911.3760000002,63401.0000000000
510,2024-01-12,IMZL.CFE,5576.4000000000,5637.6000000000,5551.0000000000,5551.0000000000,5221559.1359999999,46706.0000000000
509,2024-01-15,IMZL.CFE,5528.0000000000,5599.8000000000,5498.0000000000,5530.2000000000,5722659.2319999998,51572.0000000000
508,2024-01-16,IMZL.CFE,5525.6000000000,5547.4000000000,5433.2000000000,5513.0000000000,6490825.0959999999,59099.0000000000
507,2024-01-17,IMZL.CFE,5500.2000000000,5505.0000000000,5330.0000000000,5346.4000000000,5333184.8039999995,48961.0000000000
506,2024-01-18,IMZL.CFE,5335.0000000000,5376.0000000000,5177.8000000000,5344.6000000000,5421666.7359999996,51285.0000000000
505,2024-01-19,IMZL.CFE,5248.0000000000,5309.6000000000,5205.2000000000,5217.4000000000,6476855.5279999999,61749.0000000000
504,2024-01-22,IMZL.CFE,5204.8000000000,5220.2000000000,4726.0000000000,4830.4000000000,9355183.7080000006,93331.0000000000
503,2024-01-23,IMZL.CFE,4830.2000000000,5058.0000000000,4773.0000000000,4998.0000000000,10000639.8039999995,101009.0000000000
502,2024-01-24,IMZL.CFE,5055.0000000000,5111.0000000000,4833.0000000000,5090.8000000000,11244823.8200000003,112868.0000000000
501,2024-01-25,IMZL.CFE,5055.4000000000,5307.8000000000,5038.0000000000,5306.6000000000,10140424.4719999991,97699.0000000000
500,2024-01-26,IMZL.CFE,5284.0000000000,5316.8000000000,5196.0000000000,5216.8000000000,7799820.2280000001,74122.0000000000
499,2024-01-29,IMZL.CFE,5248.0000000000,5271.4000000000,5058.0000000000,5063.0000000000,8414095.3440000005,82003.0000000000
498,2024-01-30,IMZL.CFE,5035.2000000000,5099.4000000000,4886.0000000000,4907.2000000000,8373681.5360000003,83571.0000000000
497,2024-01-31,IMZL.CFE,4889.0000000000,4935.4000000000,4706.4000000000,4727.2000000000,10501746.4320000000,109118.0000000000
496,2024-02-01,IMZL.CFE,4701.8000000000,4858.2000000000,4651.0000000000,4699.2000000000,10931254.5920000002,115210.0000000000
495,2024-02-02,IMZL.CFE,4726.2000000000,4788.0000000000,4339.0000000000,4507.2000000000,12357921.9879999999,134558.0000000000
494,2024-02-05,IMZL.CFE,4453.0000000000,4458.6000000000,4081.2000000000,4176.6000000000,13828716.9879999999,161837.0000000000
493,2024-02-06,IMZL.CFE,4146.0000000000,4645.8000000000,4129.0000000000,4609.0000000000,12165495.7080000006,138116.0000000000
