time,open,close,high,low,ma5,ma10
2022-11-01,0.9214817160,0.9218667903,0.9232576109,0.9214817160,,
2022-11-02,0.9215668060,0.9187691366,0.9219171708,0.9187691366,,
2022-11-03,0.9199445557,0.9146174239,0.9199445557,0.9146174239,,
2022-11-04,0.9115361263,0.9124892538,0.9156544410,0.9115361263,,
2022-11-07,0.9119945331,0.9142703895,0.9161086924,0.9119945331,0.9164025988,
2022-11-08,1.0132001191,0.9160951756,1.0132001191,0.9152996517,0.9152482759,
2022-11-09,0.9187511193,0.9173608198,0.9187511193,0.9173608198,0.9149666125,
2022-11-10,0.9199156372,0.9229141475,0.9229141475,0.9197540123,0.9166259573,
2022-11-11,0.9191176471,0.9239428141,0.9243277425,0.9191176471,0.9189166693,
2022-11-14,0.9268146371,0.9293407360,0.9310649446,0.9253798034,0.9219307386,0.9191666687
2022-11-15,0.9299469295,0.9227306382,0.9301795643,0.9227306382,0.9232578311,0.9192530535
2022-11-16,0.9243308930,0.9265772894,0.9265772894,0.9243308930,0.9251011251,0.9200338688
2022-11-17,0.9264635460,0.9255420538,0.9274344287,0.9252900922,0.9256267063,0.9211263318
2022-11-18,0.9294988508,0.9351829562,0.9351829562,0.9278402367,0.9278747347,0.9233957020
2022-11-21,0.9345160607,0.9280777861,0.9345160607,0.9280777861,0.9276221448,0.9247764417
2022-11-22,0.9289781241,0.9358567681,0.9375844283,0.9280971466,0.9302473707,0.9267526009
2022-11-23,0.9338717050,0.9351786859,0.9431036094,0.9338717050,0.9319676500,0.9285343875
2022-11-24,0.9373211568,0.9350835468,0.9373211568,0.9350835468,0.9338759486,0.9297513275
2022-11-25,0.9356474974,0.9383099892,0.9383099892,0.9349385090,0.9345013552,0.9311880450
2022-11-28,0.9359920301,0.9357362908,0.9379728160,0.9352982802,0.9360330562,0.9318276005
2022-11-29,0.9374653953,0.9356980446,0.9375480695,0.9354721988,0.9360013115,0.9331243411
2022-11-30,0.9337292809,0.9363492739,0.9363492739,0.9337292809,0.9362354291,0.9341015395
2022-12-01,0.9370492788,0.9291504053,0.9370492788,0.9291504053,0.9350488008,0.9344623747
2022-12-02,0.9279217075,0.9243018348,0.9281332692,0.9239958500,0.9322471699,0.9333742625
2022-12-05,0.9243275375,0.9263911681,0.9270193316,0.9243275375,0.9303781453,0.9332056008
2022-12-06,0.9267585423,0.9278569082,0.9289169295,0.9267585423,0.9288099181,0.9324056148
2022-12-07,0.9275314658,0.9262157964,0.9281792551,0.9262157964,0.9267832226,0.9315093258
2022-12-08,0.9259557704,0.9292295687,0.9295426452,0.9259557704,0.9267990553,0.9309239280
2022-12-09,0.9297029703,0.9281055529,0.9308957842,0.9281055529,0.9275597989,0.9299034844
2022-12-12,0.9276430069,0.9271180837,0.9286059873,0.9261761014,0.9277051820,0.9290416637
2022-12-13,0.9268146191,0.9291727229,0.9291727229,0.9268146191,0.9279683449,0.9283891315
2022-12-14,0.9280725624,0.9285627358,0.9292670269,0.9277536756,0.9284377328,0.9276104777
2022-12-15,0.9290458201,0.9241584098,0.9290458201,0.9241584098,0.9274235010,0.9271112781
2022-12-16,0.9284819984,0.9348112312,0.9348112312,0.9284819984,0.9287646367,0.9281622178
2022-12-19,0.9331391784,0.9306217859,0.9331391784,0.9295615631,0.9294653771,0.9285852796
2022-12-20,0.9302514446,0.9286659108,0.9302514446,0.9281747034,0.9293640147,0.9286661798
2022-12-21,0.9290119572,0.9307543398,0.9322749968,0.9285063895,0.9298023355,0.9291200341
2022-12-22,0.9307816303,0.9349017080,0.9349017080,0.9307816303,0.9319509951,0.9296872481
2022-12-23,0.9361048204,0.9394342438,0.9394342438,0.9361048204,0.9328755977,0.9308201172
2022-12-26,0.9391140922,0.9324444727,0.9392888399,0.9324444727,0.9332401350,0.9313527561
2022-12-27,0.9369389374,0.9307787002,0.9369389374,0.9307787002,0.9336626929,0.9315133538
2022-12-28,0.9329635499,0.9346934884,0.9360452122,0.9329635499,0.9344505226,0.9321264291
2022-12-29,0.9349023854,0.9362279079,0.9362279079,0.9341937133,0.9347157626,0.9333333789
2022-12-30,0.9355823344,0.9339781730,0.9359137056,0.9339781730,0.9336245484,0.9332500730
