time,ic_close,im_close,ratio_close,ma3,ma5,cross_up,cross_down,signal,position,next_time,next_ic_close,next_im_close,ret_next_ic,ret_next_im,pair_ret,equity,cum_ret,rolling_max,drawdown
2022-07-22,6244.8000000000,6956.6000000000,0.8976799011,,,False,False,0,0,2022-07-25,6173.6000000000,6878.6000000000,-0.0114014860,-0.0112123739,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-07-25,6173.6000000000,6878.6000000000,0.8975082139,,,False,False,0,0,2022-07-26,6273.4000000000,6991.0000000000,0.0161656084,0.0163405344,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-07-26,6273.4000000000,6991.0000000000,0.8973537405,0.8975139518,,False,False,0,0,2022-07-27,6298.0000000000,7066.2000000000,0.0039213186,0.0107566872,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-07-27,6298.0000000000,7066.2000000000,0.8912852736,0.8953824093,,False,False,0,0,2022-07-28,6305.6000000000,7119.0000000000,0.0012067323,0.0074721916,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-07-28,6305.6000000000,7119.0000000000,0.8857423795,0.8914604645,0.8939139017,False,False,0,0,2022-07-29,6255.2000000000,7087.0000000000,-0.0079928952,-0.0044950133,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-07-29,6255.2000000000,7087.0000000000,0.8826301679,0.8865526070,0.8909039551,False,False,0,0,2022-08-01,6311.4000000000,7136.6000000000,0.0089845249,0.0069987301,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-08-01,6311.4000000000,7136.6000000000,0.8843707087,0.8842477521,0.8882764541,False,False,0,0,2022-08-02,6167.4000000000,6948.2000000000,-0.0228158570,-0.0263991256,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-08-02,6167.4000000000,6948.2000000000,0.8876255721,0.8848754829,0.8863308204,False,False,0,0,2022-08-03,6102.6000000000,6882.8000000000,-0.0105068586,-0.0094125097,-0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
2022-08-03,6102.6000000000,6882.8000000000,0.8866449701,0.8862137503,0.8854027597,True,False,1,1,2022-08-04,6124.4000000000,6890.8000000000,0.0035722479,0.0011623177,0.0024099302,1.0024099302,0.0024099302,1.0024099302,0.0000000000
2022-08-04,6124.4000000000,6890.8000000000,0.8887792419,0.8876832613,0.8860101321,False,False,0,1,2022-08-05,6258.0000000000,7080.0000000000,0.0218143818,0.0274568991,-0.0056425172,0.9967538149,-0.0032461851,1.0024099302,-0.0056425172
2022-08-05,6258.0000000000,7080.0000000000,0.8838983051,0.8864408390,0.8862637596,False,False,0,1,2022-08-08,6291.4000000000,7132.2000000000,0.0053371684,0.0073728814,-0.0020357129,0.9947247103,-0.0052752897,1.0024099302,-0.0076667436
2022-08-08,6291.4000000000,7132.2000000000,0.8821121113,0.8849298861,0.8858120401,False,True,-1,-1,2022-08-09,6309.4000000000,7160.6000000000,0.0028610484,0.0039819411,0.0011208926,0.9958396899,-0.0041603101,1.0024099302,-0.0065544446
2022-08-09,6309.4000000000,7160.6000000000,0.8811272798,0.8823792321,0.8845123816,False,False,0,-1,2022-08-10,6291.0000000000,7168.4000000000,-0.0029162836,0.0010892942,0.0040055778,0.9998286033,-0.0001713967,1.0024099302,-0.0025751211
2022-08-10,6291.0000000000,7168.4000000000,0.8776016963,0.8802803625,0.8827037269,False,False,0,-1,2022-08-11,6426.2000000000,7284.8000000000,0.0214910189,0.0162379332,-0.0052530858,0.9945764179,-0.0054235821,1.0024099302,-0.0078146795
2022-08-11,6426.2000000000,7284.8000000000,0.8821381507,0.8802890423,0.8813755086,False,False,0,-1,2022-08-12,6418.4000000000,7222.4000000000,-0.0012137811,-0.0085657808,-0.0073519997,0.9872642923,-0.0127357077,1.0024099302,-0.0151092257
2022-08-12,6418.4000000000,7222.4000000000,0.8886796633,0.8828065034,0.8823317803,True,False,1,1,2022-08-15,6429.0000000000,7266.0000000000,0.0016515019,0.0060367745,-0.0043852725,0.9829348693,-0.0170651307,1.0024099302,-0.0194282402
2022-08-15,6429.0000000000,7266.0000000000,0.8848059455,0.8852079198,0.8828705471,False,False,0,1,2022-08-16,6454.0000000000,7311.0000000000,0.0038886296,0.0061932287,-0.0023045991,0.9806695985,-0.0193304015,1.0024099302,-0.0216880650
2022-08-16,6454.0000000000,7311.0000000000,0.8827793735,0.8854216608,0.8832009659,False,False,0,1,2022-08-17,6492.4000000000,7327.6000000000,0.0059497986,0.0022705512,0.0036792474,0.9842777246,-0.0157222754,1.0024099302,-0.0180886134
2022-08-17,6492.4000000000,7327.6000000000,0.8860199793,0.8845350994,0.8848846224,False,True,-1,-1,2022-08-18,6471.4000000000,7358.8000000000,-0.0032345512,0.0042578743,0.0074924255,0.9916523521,-0.0083476479,1.0024099302,-0.0107317155
2022-08-18,6471.4000000000,7358.8000000000,0.8794096864,0.8827363464,0.8843389296,False,False,0,-1,2022-08-19,6350.2000000000,7186.4000000000,-0.0187285595,-0.0234277328,-0.0046991733,0.9869924059,-0.0130075941,1.0024099302,-0.0153804585
2022-08-19,6350.2000000000,7186.4000000000,0.8836413225,0.8830236627,0.8833312614,False,False,0,-1,2022-08-22,6428.6000000000,7232.4000000000,0.0123460678,0.0064009796,-0.0059450882,0.9811246489,-0.0188753511,1.0024099302,-0.0212341086
2022-08-22,6428.6000000000,7232.4000000000,0.8888612356,0.8839707481,0.8841423194,False,False,0,-1,2022-08-23,6432.0000000000,7253.6000000000,0.0005288865,0.0029312538,0.0024023673,0.9834816707,-0.0165183293,1.0024099302,-0.0188827534
2022-08-23,6432.0000000000,7253.6000000000,0.8867321054,0.8864115545,0.8849328658,True,False,1,1,2022-08-24,6247.4000000000,6969.8000000000,-0.0287002488,-0.0391253998,0.0104251510,0.9937346156,-0.0062653844,1.0024099302,-0.0086544580
2022-08-24,6247.4000000000,6969.8000000000,0.8963528365,0.8906487258,0.8869994373,False,False,0,1,2022-08-25,6278.4000000000,6940.4000000000,0.0049620642,-0.0042181985,0.0091802627,1.0028573605,0.0028573605,1.0028573605,0.0000000000
2022-08-25,6278.4000000000,6940.4000000000,0.9046164486,0.8959004635,0.8920407897,False,False,0,1,2022-08-26,6269.0000000000,6911.6000000000,-0.0014971967,-0.0041496167,0.0026524200,1.0055173594,0.0055173594,1.0055173594,0.0000000000
2022-08-26,6269.0000000000,6911.6000000000,0.9070258696,0.9026650516,0.8967176991,False,False,0,1,2022-08-29,6272.0000000000,6950.0000000000,0.0004785452,0.0055558771,-0.0050773319,1.0004120141,0.0004120141,1.0055173594,-0.0050773319
2022-08-29,6272.0000000000,6950.0000000000,0.9024460432,0.9046961204,0.8994346607,False,False,0,1,2022-08-30,6267.0000000000,6941.0000000000,-0.0007971939,-0.0012949640,0.0004977702,1.0009099893,0.0009099893,1.0055173594,-0.0045820890
2022-08-30,6267.0000000000,6941.0000000000,0.9028958363,0.9041225830,0.9026674068,False,False,0,1,2022-08-31,6139.4000000000,6710.2000000000,-0.0203606191,-0.0332516928,0.0128910737,1.0138127938,0.0138127938,1.0138127938,0.0000000000
2022-08-31,6139.4000000000,6710.2000000000,0.9149354714,0.9067591170,0.9063839338,False,False,0,1,2022-09-01,6115.0000000000,6682.6000000000,-0.0039743297,-0.0041131412,0.0001388114,1.0139535226,0.0139535226,1.0139535226,0.0000000000
2022-09-01,6115.0000000000,6682.6000000000,0.9150629994,0.9109647690,0.9084732440,False,False,0,1,2022-09-02,6130.2000000000,6730.2000000000,0.0024856909,0.0071229761,-0.0046372852,1.0092515310,0.0092515310,1.0139535226,-0.0046372852
