time,ic_open,ic_close,im_open,im_close,ratio_open,ratio_close,bull,bear,bull2,bear2,raw_signal,position,next_time,next_ic_close,next_im_close,ret_next_ic,ret_next_im,pair_ret,equity,cum_ret
2024-01-02,5431.8000000000,5394.2000000000,5895.0000000000,5833.6000000000,0.9214249364,0.9246777290,True,False,False,False,0,0,2024-01-03,5388.6000000000,5809.4000000000,-0.0010381521,-0.0041483818,0.0000000000,1.0000000000,0.0000000000
2024-01-03,5383.0000000000,5388.6000000000,5818.0000000000,5809.4000000000,0.9252320385,0.9275656694,True,False,True,False,1,1,2024-01-04,5347.8000000000,5765.2000000000,-0.0075715399,-0.0076083589,0.0000368189,1.0000368189,0.0000368189
2024-01-04,5382.4000000000,5347.8000000000,5800.0000000000,5765.2000000000,0.9280000000,0.9276000833,False,True,False,False,0,1,2024-01-05,5282.2000000000,5664.8000000000,-0.0122667265,-0.0174148338,0.0051481073,1.0051851158,0.0051851158
2024-01-05,5338.0000000000,5282.2000000000,5751.0000000000,5664.8000000000,0.9281864024,0.9324601045,True,False,False,False,0,1,2024-01-08,5130.6000000000,5480.2000000000,-0.0287001628,-0.0325872052,0.0038870424,1.0090923130,0.0090923130
2024-01-08,5275.6000000000,5130.6000000000,5649.0000000000,5480.2000000000,0.9338998053,0.9362067078,True,False,True,False,1,1,2024-01-09,5155.0000000000,5513.4000000000,0.0047557791,0.0060581731,-0.0013023940,1.0077780772,0.0077780772
2024-01-09,5141.2000000000,5155.0000000000,5504.8000000000,5513.4000000000,0.9339485540,0.9349947401,True,False,True,False,1,1,2024-01-10,5138.8000000000,5484.6000000000,-0.0031425800,-0.0052236370,0.0020810569,1.0098753208,0.0098753208
2024-01-10,5142.0000000000,5138.8000000000,5500.4000000000,5484.6000000000,0.9348411025,0.9369507348,True,False,True,False,1,1,2024-01-11,5209.6000000000,5595.2000000000,0.0137775356,0.0201655545,-0.0063880189,1.0034242182,0.0034242182
2024-01-11,5138.8000000000,5209.6000000000,5485.2000000000,5595.2000000000,0.9368482462,0.9310837861,False,True,False,False,0,1,2024-01-12,5188.6000000000,5551.0000000000,-0.0040310197,-0.0078996283,0.0038686086,1.0073060737,0.0073060737
2024-01-12,5196.0000000000,5188.6000000000,5576.4000000000,5551.0000000000,0.9317839466,0.9347144659,True,False,False,False,0,1,2024-01-15,5178.2000000000,5530.2000000000,-0.0020043942,-0.0037470726,0.0017426784,1.0090614842,0.0090614842
2024-01-15,5169.0000000000,5178.2000000000,5528.0000000000,5530.2000000000,0.9350578871,0.9363494991,True,False,True,False,1,1,2024-01-16,5173.4000000000,5513.0000000000,-0.0009269630,-0.0031101949,0.0021832319,1.0112644994,0.0112644994
2024-01-16,5175.2000000000,5173.4000000000,5525.6000000000,5513.0000000000,0.9365860721,0.9384001451,True,False,True,False,1,1,2024-01-17,5017.8000000000,5346.4000000000,-0.0300769320,-0.0302194812,0.0001425492,1.0114086544,0.0114086544
2024-01-17,5162.0000000000,5017.8000000000,5500.2000000000,5346.4000000000,0.9385113269,0.9385380817,True,False,True,False,1,1,2024-01-18,5045.0000000000,5344.6000000000,0.0054207023,-0.0003366751,0.0057573774,1.0172317158,0.0172317158
2024-01-18,5009.6000000000,5045.0000000000,5335.0000000000,5344.6000000000,0.9390065604,0.9439434195,True,False,True,False,1,1,2024-01-19,4950.8000000000,5217.4000000000,-0.0186719524,-0.0237997231,0.0051277707,1.0224478467,0.0224478467
2024-01-19,4969.0000000000,4950.8000000000,5248.0000000000,5217.4000000000,0.9468368902,0.9489017518,True,False,True,False,1,1,2024-01-22,4645.6000000000,4830.4000000000,-0.0616466026,-0.0741748764,0.0125282738,1.0352573533,0.0352573533
2024-01-22,4946.0000000000,4645.6000000000,5204.8000000000,4830.4000000000,0.9502766677,0.9617422988,True,False,True,False,1,1,2024-01-23,4800.4000000000,4998.0000000000,0.0333218529,0.0346969195,-0.0013750666,1.0338338055,0.0338338055
2024-01-23,4659.0000000000,4800.4000000000,4830.2000000000,4998.0000000000,0.9645563331,0.9604641857,False,True,False,False,0,1,2024-01-24,4890.2000000000,5090.8000000000,0.0187067744,0.0185674270,0.0001393475,1.0339778676,0.0339778676
2024-01-24,4850.4000000000,4890.2000000000,5055.0000000000,5090.8000000000,0.9595252226,0.9605955842,True,False,False,False,0,1,2024-01-25,5060.0000000000,5306.6000000000,0.0347225062,0.0423901941,-0.0076676878,1.0260496481,0.0260496481
2024-01-25,4856.6000000000,5060.0000000000,5055.4000000000,5306.6000000000,0.9606757131,0.9535295670,False,True,False,False,0,1,2024-01-26,4992.6000000000,5216.8000000000,-0.0133201581,-0.0169223231,0.0036021650,1.0297456483,0.0297456483
2024-01-26,5043.0000000000,4992.6000000000,5284.0000000000,5216.8000000000,0.9543906132,0.9570234627,True,False,False,False,0,1,2024-01-29,4893.2000000000,5063.0000000000,-0.0199094660,-0.0294816746,0.0095722086,1.0396025884,0.0396025884
2024-01-29,5018.0000000000,4893.2000000000,5248.0000000000,5063.0000000000,0.9561737805,0.9664625716,True,False,True,False,1,1,2024-01-30,4767.8000000000,4907.2000000000,-0.0256274013,-0.0307722694,0.0051448681,1.0449512066,0.0449512066
2024-01-30,4856.0000000000,4767.8000000000,5035.2000000000,4907.2000000000,0.9644105497,0.9715927617,True,False,True,False,1,1,2024-01-31,4657.4000000000,4727.2000000000,-0.0231553337,-0.0366807956,0.0135254619,1.0590846543,0.0590846543
2024-01-31,4750.0000000000,4657.4000000000,4889.0000000000,4727.2000000000,0.9715688280,0.9852343882,True,False,True,False,1,1,2024-02-01,4648.8000000000,4699.2000000000,-0.0018465238,-0.0059231680,0.0040766442,1.0634021657,0.0634021657
2024-02-01,4650.0000000000,4648.8000000000,4701.8000000000,4699.2000000000,0.9889829427,0.9892747702,True,False,True,False,1,1,2024-02-02,4512.8000000000,4507.2000000000,-0.0292548615,-0.0408580184,0.0116031569,1.0757409879,0.0757409879
2024-02-02,4673.0000000000,4512.8000000000,4726.2000000000,4507.2000000000,0.9887435995,1.0012424565,True,False,True,False,1,1,2024-02-05,4380.0000000000,4176.6000000000,-0.0294274065,-0.0733493078,0.0439219013,1.1229895773,0.1229895773
2024-02-05,4475.0000000000,4380.0000000000,4453.0000000000,4176.6000000000,1.0049404896,1.0486998994,True,False,True,False,1,1,2024-02-06,4822.6000000000,4609.0000000000,0.1010502283,0.1035291864,-0.0024789581,1.1202057332,0.1202057332
2024-02-06,4379.0000000000,4822.6000000000,4146.0000000000,4609.0000000000,1.0561987458,1.0463441094,False,True,False,False,0,1,2024-02-07,5128.6000000000,4793.0000000000,0.0634512504,0.0399218920,0.0235293584,1.1465634554,0.1465634554
2024-02-07,4805.0000000000,5128.6000000000,4586.0000000000,4793.0000000000,1.0477540340,1.0700187774,True,False,False,False,0,1,2024-02-08,5110.6000000000,4980.4000000000,-0.0035097298,0.0390986856,-0.0426084153,1.0977102035,0.0977102035
2024-02-08,5180.0000000000,5110.6000000000,4846.2000000000,4980.4000000000,1.0688787091,1.0261424785,False,True,False,False,0,1,2024-02-19,5083.4000000000,4954.6000000000,-0.0053222714,-0.0051803068,-0.0001419646,1.0975543676,0.0975543676
2024-02-19,5201.0000000000,5083.4000000000,5070.0000000000,4954.6000000000,1.0258382643,1.0259960441,True,False,False,False,0,1,2024-02-20,5097.4000000000,4989.0000000000,0.0027540622,0.0069430428,-0.0041889806,1.0929567336,0.0929567336
2024-02-20,5067.8000000000,5097.4000000000,4922.2000000000,4989.0000000000,1.0295802690,1.0217278012,False,True,False,False,0,1,2024-02-21,5107.2000000000,5001.4000000000,0.0019225488,0.0024854680,-0.0005629193,1.0923414872,0.0923414872
2024-02-21,5065.0000000000,5107.2000000000,4950.8000000000,5001.4000000000,1.0230669791,1.0211540769,False,True,False,True,-1,-1,2024-02-22,5159.2000000000,5122.4000000000,0.0101817043,0.0241932259,0.0140115216,1.1076468536,0.1076468536
2024-02-22,5117.2000000000,5159.2000000000,5031.0000000000,5122.4000000000,1.0171337706,1.0071841324,False,True,False,True,-1,-1,2024-02-23,5186.0000000000,5217.0000000000,0.0051946038,0.0184679057,0.0132733019,1.1223489846,0.1223489846
2024-02-23,5180.0000000000,5186.0000000000,5150.0000000000,5217.0000000000,1.0058252427,0.9940578877,False,True,False,True,-1,-1,2024-02-26,5168.2000000000,5215.0000000000,-0.0034323178,-0.0003833621,0.0030489557,1.1257709770,0.1257709770
2024-02-26,5179.8000000000,5168.2000000000,5217.0000000000,5215.0000000000,0.9928694652,0.9910258869,False,True,False,True,-1,-1,2024-02-27,5307.8000000000,5386.0000000000,0.0270113386,0.0327900288,0.0057786902,1.1322764587,0.1322764587
2024-02-27,5160.0000000000,5307.8000000000,5188.0000000000,5386.0000000000,0.9946029298,0.9854808763,False,True,False,True,-1,-1,2024-02-28,5175.2000000000,5117.6000000000,-0.0249821018,-0.0498329001,-0.0248507983,1.1041384848,0.1041384848
2024-02-28,5319.2000000000,5175.2000000000,5400.0000000000,5117.6000000000,0.9850370370,1.0112552759,True,False,False,False,0,-1,2024-02-29,5346.4000000000,5333.8000000000,0.0330808471,0.0422463655,0.0091655184,1.1142584863,0.1142584863
2024-02-29,5202.0000000000,5346.4000000000,5108.0000000000,5333.8000000000,1.0184025059,1.0023622933,False,True,False,False,0,-1,2024-03-01,5382.6000000000,5392.0000000000,0.0067709113,0.0109115452,0.0041406340,1.1188722229,0.1188722229
2024-03-01,5346.4000000000,5382.6000000000,5335.0000000000,5392.0000000000,1.0021368322,0.9982566766,False,True,False,True,-1,-1,2024-03-04,5377.0000000000,5383.4000000000,-0.0010403894,-0.0015949555,-0.0005545661,1.1182517343,0.1182517343
