trade_id,direction,entry_signal_date,exit_signal_date,exit_realize_date,holding_days,trade_ret
1,long_IC_short_IM,2022-08-03,2022-08-05,2022-08-08,3,-0.0052752897
2,short_IC_long_IM,2022-08-08,2022-08-11,2022-08-12,4,-0.0074999825
3,long_IC_short_IM,2022-08-12,2022-08-16,2022-08-17,3,-0.0030250945
4,short_IC_long_IM,2022-08-17,2022-08-22,2022-08-23,4,-0.0008087696
5,long_IC_short_IM,2022-08-23,2022-09-05,2022-09-06,10,0.0271910508
6,short_IC_long_IM,2022-09-06,2022-09-09,2022-09-13,4,-0.0014906925
7,long_IC_short_IM,2022-09-13,2022-09-21,2022-09-22,7,0.0099123418
8,short_IC_long_IM,2022-09-22,2022-09-26,2022-09-27,3,-0.0012365153
9,long_IC_short_IM,2022-09-27,2022-09-28,2022-09-29,2,0.0053242917
10,short_IC_long_IM,2022-09-29,2022-09-29,2022-09-30,1,-0.0068438376
11,long_IC_short_IM,2022-09-30,2022-10-13,2022-10-14,5,-0.0040153381
12,short_IC_long_IM,2022-10-14,2022-10-21,2022-10-24,6,0.0054836020
13,long_IC_short_IM,2022-10-24,2022-10-25,2022-10-26,2,-0.0087293645
14,short_IC_long_IM,2022-10-26,2022-10-28,2022-10-31,3,-0.0042686441
15,long_IC_short_IM,2022-10-31,2022-11-01,2022-11-02,2,-0.0050869812
16,short_IC_long_IM,2022-11-02,2022-11-08,2022-11-09,5,0.0016042789
17,long_IC_short_IM,2022-11-09,2022-11-16,2022-11-17,6,0.0086099882
18,short_IC_long_IM,2022-11-17,2022-11-17,2022-11-18,1,-0.0103097717
19,long_IC_short_IM,2022-11-18,2022-11-29,2022-11-30,8,0.0010111864
20,short_IC_long_IM,2022-11-30,2022-12-06,2022-12-07,5,0.0109442601
21,long_IC_short_IM,2022-12-07,2022-12-13,2022-12-14,5,0.0025061708
22,short_IC_long_IM,2022-12-14,2022-12-15,2022-12-16,2,-0.0066985820
23,long_IC_short_IM,2022-12-16,2022-12-21,2022-12-22,4,0.0001130155
24,short_IC_long_IM,2022-12-22,2022-12-22,2022-12-23,1,-0.0048162685
25,long_IC_short_IM,2022-12-23,2022-12-27,2022-12-28,3,-0.0052341546
26,short_IC_long_IM,2022-12-28,2022-12-29,2022-12-30,2,0.0007700846
27,long_IC_short_IM,2022-12-30,2023-01-03,2023-01-04,2,-0.0057936963
28,short_IC_long_IM,2023-01-04,2023-01-11,2023-01-12,6,0.0012594518
29,long_IC_short_IM,2023-01-12,2023-01-18,2023-01-19,5,0.0013574339
30,short_IC_long_IM,2023-01-19,2023-02-16,2023-02-17,16,0.0203721382
31,long_IC_short_IM,2023-02-17,2023-02-23,2023-02-24,5,0.0049470094
32,short_IC_long_IM,2023-02-24,2023-02-24,2023-02-27,1,-0.0013249017
33,long_IC_short_IM,2023-02-27,2023-03-01,2023-03-02,3,0.0004389989
34,short_IC_long_IM,2023-03-02,2023-03-02,2023-03-03,1,-0.0014990366
35,long_IC_short_IM,2023-03-03,2023-03-07,2023-03-08,3,-0.0031248122
36,short_IC_long_IM,2023-03-08,2023-03-14,2023-03-15,5,0.0001852201
