number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
495,2024-01-02,000001.SH,2972.775,2976.2682,2962.2762,2962.2762,304141793.0,345950729195.0,0.6829
494,2024-01-03,000001.SH,2957.1117,2971.2834,2953.2901,2967.2472,285455945.0,321018391310.0,0.6409
493,2024-01-04,000001.SH,2965.5087,2966.6828,2936.6347,2954.3486,264980924.0,296291346879.0,0.5949
492,2024-01-05,000001.SH,2949.8221,2967.9677,2916.7206,2929.1833,301040239.0,325917001165.0,0.6759
491,2024-01-08,000001.SH,2923.457,2924.4559,2887.5379,2887.5379,270275055.0,290730589589.0,0.6064
490,2024-01-09,000001.SH,2887.1095,2900.7266,2878.4123,2893.2513,262955975.0,294446373683.0,0.59
489,2024-01-10,000001.SH,2886.9807,2903.1621,2870.4155,2877.7023,244046526.0,281192192419.0,0.5475
488,2024-01-11,000001.SH,2873.7982,2896.1788,2867.7223,2886.6502,267050764.0,298552532937.0,0.5991
487,2024-01-12,000001.SH,2880.0399,2904.1743,2878.8752,2881.9769,261602931.0,282877466333.0,0.5869
486,2024-01-15,000001.SH,2872.5562,2904.4643,2869.2236,2886.2908,244611236.0,269229737082.0,0.5486
485,2024-01-16,000001.SH,2881.5602,2896.683,2861.1302,2893.9886,286286714.0,300837919169.0,0.6421
484,2024-01-17,000001.SH,2887.2917,2887.4893,2833.6152,2833.6152,261251308.0,283073939818.0,0.586
483,2024-01-18,000001.SH,2822.6672,2849.2559,2760.978,2845.7839,390396855.0,400709904734.0,0.8753
482,2024-01-19,000001.SH,2836.9749,2849.8755,2822.8434,2832.2793,266664388.0,296717043828.0,0.5979
481,2024-01-22,000001.SH,2826.5034,2828.3202,2735.3721,2756.3399,350165758.0,359918989570.0,0.785
480,2024-01-23,000001.SH,2746.8923,2784.8407,2724.1573,2770.9763,308749417.0,312191330217.0,0.6921
479,2024-01-24,000001.SH,2782.1415,2823.6953,2743.3971,2820.7719,369070600.0,357316181644.0,0.8272
478,2024-01-25,000001.SH,2823.8259,2906.794,2821.7093,2906.1087,442009045.0,437679811286.0,0.9907
477,2024-01-26,000001.SH,2897.9149,2924.3065,2890.4819,2910.2227,421109084.0,402400231263.0,0.9439
476,2024-01-29,000001.SH,2910.6072,2923.8992,2883.3327,2883.356,410581311.0,397014731370.0,0.9202
475,2024-01-30,000001.SH,2866.2795,2881.3468,2829.2498,2830.5266,335661226.0,329254005892.0,0.7522
474,2024-01-31,000001.SH,2815.5042,2834.011,2782.5869,2788.5482,377103965.0,355636999834.0,0.8448
473,2024-02-01,000001.SH,2773.4239,2805.0146,2752.7824,2770.7403,352889185.0,337547960521.0,0.7904
472,2024-02-02,000001.SH,2773.2949,2791.6756,2666.3335,2730.152,426230199.0,392661142298.0,0.9546
471,2024-02-05,000001.SH,2716.081,2739.7383,2635.0897,2702.185,478990292.0,424877418269.0,1.0724
470,2024-02-06,000001.SH,2680.4846,2802.9312,2669.6732,2789.486,502849313.0,441215054099.0,1.1258
469,2024-02-07,000001.SH,2791.5145,2829.6956,2770.5293,2829.6956,547117439.0,495919878083.0,1.2249
468,2024-02-08,000001.SH,2832.4855,2867.4738,2827.902,2865.9032,531108893.0,482939732025.0,1.1889
467,2024-02-19,000001.SH,2886.5871,2910.544,2867.7103,2910.544,458967704.0,442148454575.0,1.0272
466,2024-02-20,000001.SH,2902.8765,2927.308,2887.4741,2922.7302,350138735.0,357057491973.0,0.7835
465,2024-02-21,000001.SH,2906.0243,2994.6149,2898.0496,2950.9556,444245463.0,450922050718.0,0.9941
464,2024-02-22,000001.SH,2945.4465,2988.3578,2944.4988,2988.3578,354132536.0,365264217873.0,0.7924
463,2024-02-23,000001.SH,2992.9115,3009.1359,2979.9728,3004.881,380083270.0,398232220674.0,0.8502
462,2024-02-26,000001.SH,3002.1179,3009.479,2967.0571,2977.0221,409026558.0,427564895757.0,0.9147
461,2024-02-27,000001.SH,2966.4166,3015.4807,2961.1479,3015.4807,372984687.0,412614978517.0,0.8339
460,2024-02-28,000001.SH,3016.2555,3031.4881,2957.8524,2957.8524,544109093.0,576555221675.0,1.2165
459,2024-02-29,000001.SH,2943.6242,3015.1712,2943.6242,3015.1712,409696374.0,452808746135.0,0.916
458,2024-03-01,000001.SH,3013.8229,3032.2315,3003.7632,3027.0204,379132184.0,442984248197.0,0.8474
457,2024-03-04,000001.SH,3026.6071,3040.3447,3007.6829,3039.3055,387760002.0,461727516645.0,0.8666
456,2024-03-05,000001.SH,3027.1028,3052.5413,3022.1777,3047.7931,383509955.0,458900476786.0,0.8571
455,2024-03-06,000001.SH,3041.7518,3060.5629,3034.3536,3039.9309,340982739.0,401334635600.0,0.762
454,2024-03-07,000001.SH,3040.2111,3063.6924,3023.1177,3027.4013,377154391.0,423391257040.0,0.8429
453,2024-03-08,000001.SH,3026.1654,3049.194,3016.9032,3046.0192,319204392.0,370647474769.0,0.7133
452,2024-03-11,000001.SH,3042.6188,3068.4554,3035.4451,3068.4554,361608821.0,427851361288.0,0.8077
451,2024-03-12,000001.SH,3068.182,3075.1308,3044.8572,3055.935,415743914.0,494558502794.0,0.9284
450,2024-03-13,000001.SH,3053.3413,3061.951,3031.8985,3043.8346,365047453.0,442453946274.0,0.8152
449,2024-03-14,000001.SH,3042.4131,3059.9975,3020.637,3038.2339,364072290.0,436338838340.0,0.813
448,2024-03-15,000001.SH,3031.5229,3056.4473,3023.2152,3054.6359,360268463.0,405917703991.0,0.8045
447,2024-03-18,000001.SH,3057.2093,3085.3124,3055.9221,3084.9262,406653508.0,485520636503.0,0.9081
446,2024-03-19,000001.SH,3077.9805,3090.0459,3062.6279,3062.7558,384123680.0,446930657774.0,0.8577
445,2024-03-20,000001.SH,3058.6478,3081.7547,3056.645,3079.6859,349187729.0,407432569666.0,0.7797
444,2024-03-21,000001.SH,3084.4116,3090.0513,3069.272,3077.113,366877968.0,437634616256.0,0.819
443,2024-03-22,000001.SH,3070.5481,3073.2058,3027.7615,3048.0336,394740486.0,456762466560.0,0.8811
442,2024-03-25,000001.SH,3040.501,3065.2611,3026.3055,3026.3055,387485389.0,443472341342.0,0.8641
441,2024-03-26,000001.SH,3026.9218,3036.4939,3006.2597,3031.4809,345928787.0,396410716143.0,0.772
440,2024-03-27,000001.SH,3026.8138,3030.4495,2993.1388,2993.1388,343198010.0,376242896147.0,0.7659
439,2024-03-28,000001.SH,2988.5899,3033.3666,2984.1201,3010.6636,353200026.0,392929088720.0,0.7882
438,2024-03-29,000001.SH,3008.3757,3041.2978,3008.1672,3041.1669,334822785.0,364571210090.0,0.7469
437,2024-04-01,000001.SH,3049.0207,3078.4883,3049.0207,3077.3786,375393640.0,420902006773.0,0.8364
436,2024-04-02,000001.SH,3076.8752,3085.5365,3063.9808,3074.9586,367304262.0,396705813295.0,0.8184
435,2024-04-03,000001.SH,3074.8929,3079.02,3057.3972,3069.2959,363211380.0,392704394041.0,0.8092
434,2024-04-08,000001.SH,3057.3255,3077.3512,3045.4692,3047.0526,402936740.0,421808399733.0,0.8976
433,2024-04-09,000001.SH,3044.6136,3051.5851,3033.2089,3048.5369,333489965.0,347834663476.0,0.7428
432,2024-04-10,000001.SH,3045.9609,3049.6072,3013.5897,3027.3349,348991721.0,364717833491.0,0.7772
431,2024-04-11,000001.SH,3013.5727,3050.3372,3009.8972,3034.2464,340894392.0,364147836455.0,0.7591
430,2024-04-12,000001.SH,3035.5773,3043.5599,3014.8297,3019.4735,334229771.0,363119193014.0,0.7442
429,2024-04-15,000001.SH,3013.6722,3066.9412,2995.542,3057.3776,461239244.0,459849043272.0,1.0266
428,2024-04-16,000001.SH,3043.5505,3052.4346,3005.34,3007.0681,448070473.0,435170805476.0,0.9972
427,2024-04-17,000001.SH,3008.0614,3071.3806,3002.0564,3071.3806,413358368.0,416254660835.0,0.9199
426,2024-04-18,000001.SH,3060.0309,3102.5527,3057.7606,3074.2246,416321349.0,441432075756.0,0.9265
425,2024-04-19,000001.SH,3060.2989,3080.3227,3055.0577,3065.261,375543855.0,396614941121.0,0.8357
424,2024-04-22,000001.SH,3059.0649,3078.4226,3042.542,3044.5952,357216399.0,382192259190.0,0.7946
423,2024-04-23,000001.SH,3038.6118,3044.9438,3016.5169,3021.9775,325595128.0,348651765385.0,0.7241
422,2024-04-24,000001.SH,3029.4028,3045.6398,3019.1239,3044.8223,305264093.0,335157362713.0,0.6789
421,2024-04-25,000001.SH,3037.9273,3060.2635,3034.6499,3052.9,292280148.0,315797661219.0,0.65
420,2024-04-26,000001.SH,3054.9793,3092.43,3054.9793,3088.6357,439382563.0,484160092982.0,0.9771
419,2024-04-29,000001.SH,3086.6819,3119.6857,3080.5858,3113.0432,506925445.0,554918811232.0,1.1272
418,2024-04-30,000001.SH,3110.1594,3123.2876,3104.2943,3104.8245,440213213.0,473803228531.0,0.9788
417,2024-05-06,000001.SH,3132.5115,3142.3816,3126.7689,3140.7204,450656899.0,511256135581.0,1.0015
416,2024-05-07,000001.SH,3139.6637,3151.219,3133.6904,3147.738,379102564.0,426951665906.0,0.8424
415,2024-05-08,000001.SH,3141.4874,3144.9856,3126.1729,3128.4798,334000320.0,367220116483.0,0.7421
414,2024-05-09,000001.SH,3128.1644,3158.4646,3128.1644,3154.3201,360881462.0,398979066896.0,0.8018
413,2024-05-10,000001.SH,3158.5891,3163.1441,3137.1517,3154.5472,384287495.0,406707822845.0,0.8528
412,2024-05-13,000001.SH,3139.4753,3157.3656,3126.1697,3148.0207,397030565.0,425963088195.0,0.8829
411,2024-05-14,000001.SH,3148.8488,3155.8071,3137.6091,3145.7743,343526194.0,370069674871.0,0.7639
410,2024-05-15,000001.SH,3141.2518,3142.9725,3117.9287,3119.9021,321027962.0,333005622198.0,0.7139
409,2024-05-16,000001.SH,3127.1841,3137.8779,3116.1627,3122.401,367417361.0,377502921478.0,0.817
408,2024-05-17,000001.SH,3121.7126,3154.0263,3116.7842,3154.0263,383915244.0,389572549318.0,0.8536
407,2024-05-20,000001.SH,3156.1482,3174.2658,3155.9903,3171.1451,426867280.0,448816915043.0,0.9485
406,2024-05-21,000001.SH,3164.6826,3165.2237,3148.342,3157.9657,335783572.0,346584200831.0,0.7461
405,2024-05-22,000001.SH,3157.1889,3166.9191,3152.457,3158.5399,354098082.0,364137830725.0,0.7867
404,2024-05-23,000001.SH,3149.8752,3150.6282,3110.2773,3116.387,353943727.0,356689462882.0,0.7863
403,2024-05-24,000001.SH,3110.7533,3130.4245,3087.7941,3088.8705,306532279.0,322748606369.0,0.681
402,2024-05-27,000001.SH,3094.14,3125.5064,3091.9893,3124.0427,319396765.0,345383767845.0,0.709
401,2024-05-28,000001.SH,3122.3877,3130.3103,3106.3645,3109.5721,310066974.0,320985406528.0,0.6883
400,2024-05-29,000001.SH,3108.0267,3128.1365,3100.9797,3111.0176,289970346.0,297512177292.0,0.6436
399,2024-05-30,000001.SH,3103.7078,3121.218,3085.3841,3091.6778,302380762.0,318475183005.0,0.6711
398,2024-05-31,000001.SH,3094.7587,3107.6035,3086.8134,3086.8134,276072816.0,301121881320.0,0.6126
397,2024-06-03,000001.SH,3085.9814,3097.2043,3061.2766,3078.4887,357563362.0,367608352547.0,0.7932
396,2024-06-04,000001.SH,3071.3196,3095.3221,3063.5879,3091.1992,309287598.0,325589691920.0,0.6861
395,2024-06-05,000001.SH,3086.0509,3092.3459,3064.7359,3065.4034,290542344.0,299722764400.0,0.6444
394,2024-06-06,000001.SH,3069.4393,3077.6725,3040.8295,3048.7939,369867104.0,371317019032.0,0.8201
393,2024-06-07,000001.SH,3053.9153,3065.0247,3031.0443,3051.2787,316342484.0,318911097486.0,0.701
392,2024-06-11,000001.SH,3042.1338,3043.1997,3013.8611,3028.0451,310481942.0,332683377773.0,0.6855
391,2024-06-12,000001.SH,3025.2963,3042.0423,3021.3085,3037.4675,279452106.0,312058601483.0,0.6169
390,2024-06-13,000001.SH,3038.0859,3040.4021,3022.8224,3028.9187,297862463.0,336871037065.0,0.6575
389,2024-06-14,000001.SH,3020.9588,3037.9046,3011.5773,3032.6333,348746753.0,396194698300.0,0.7697
388,2024-06-17,000001.SH,3017.7169,3026.6242,3012.0452,3015.8907,295763448.0,338146875648.0,0.6549
387,2024-06-18,000001.SH,3015.0713,3031.9758,3012.5234,3030.2464,273625999.0,317319995692.0,0.6055
386,2024-06-19,000001.SH,3029.0993,3030.2259,3015.3263,3018.0491,261296248.0,300290286695.0,0.5781
385,2024-06-20,000001.SH,3015.7224,3028.5143,3001.7677,3005.4369,295515907.0,324101266446.0,0.6537
384,2024-06-21,000001.SH,2998.2413,3011.9141,2985.9291,2998.1377,255001251.0,280275384755.0,0.564
383,2024-06-24,000001.SH,2982.8263,2990.6429,2960.1267,2963.0989,298653884.0,318595817741.0,0.6603
382,2024-06-25,000001.SH,2962.7654,2971.6534,2935.5382,2949.9963,273209938.0,296569297319.0,0.6041
381,2024-06-26,000001.SH,2943.4471,2976.669,2933.3304,2972.5251,282388409.0,276215175476.0,0.6244
380,2024-06-27,000001.SH,2962.6964,2963.0644,2944.8979,2945.8524,270548519.0,266670979388.0,0.598
379,2024-06-28,000001.SH,2940.3032,2985.4679,2939.984,2967.4028,315201432.0,313347004249.0,0.6966
378,2024-07-01,000001.SH,2965.2452,2996.4086,2961.8556,2994.7303,297782235.0,294321888832.0,0.6577
377,2024-07-02,000001.SH,2992.8556,3004.987,2989.4701,2997.0111,281364683.0,282559369535.0,0.6214
376,2024-07-03,000001.SH,2995.6642,2998.5369,2978.0686,2982.3756,246284642.0,257840296827.0,0.5439
375,2024-07-04,000001.SH,2984.8303,2995.5695,2955.2895,2957.567,274268789.0,259006711039.0,0.6057
374,2024-07-05,000001.SH,2954.3723,2957.1069,2920.2046,2949.9333,272324556.0,271508929397.0,0.6013
373,2024-07-08,000001.SH,2939.8367,2947.61,2917.2322,2922.4498,277533424.0,270872022899.0,0.6124
372,2024-07-09,000001.SH,2919.5729,2963.7822,2904.0389,2959.3724,315062031.0,320361092785.0,0.6951
371,2024-07-10,000001.SH,2949.0261,2958.8594,2935.3304,2939.3636,301549456.0,306035255362.0,0.6652
370,2024-07-11,000001.SH,2957.2502,2971.3608,2947.4027,2970.3874,328372424.0,337653177135.0,0.7243
369,2024-07-12,000001.SH,2965.6121,2977.1417,2963.3033,2971.295,303713014.0,302581575979.0,0.6697
368,2024-07-15,000001.SH,2963.8472,2977.3126,2959.1288,2974.0107,268992597.0,268733339474.0,0.5916
367,2024-07-16,000001.SH,2963.9001,2977.3613,2959.6655,2976.3043,260783630.0,279121370473.0,0.5735
366,2024-07-17,000001.SH,2970.8081,2972.7949,2957.948,2962.8549,282307991.0,305469105978.0,0.6207
365,2024-07-18,000001.SH,2951.1434,2978.0919,2937.9045,2977.1334,278022665.0,301283750605.0,0.6113
364,2024-07-19,000001.SH,2963.5144,2986.2425,2955.1199,2982.3086,280932413.0,319112460470.0,0.6176
363,2024-07-22,000001.SH,2978.1932,2978.6007,2946.5608,2964.2155,278749559.0,316415459855.0,0.6126
362,2024-07-23,000001.SH,2960.5004,2960.5004,2915.3682,2915.3685,296295994.0,307194049862.0,0.6511
361,2024-07-24,000001.SH,2909.1521,2922.0298,2894.2885,2901.9518,306118853.0,288660361551.0,0.6727
360,2024-07-25,000001.SH,2891.8918,2897.7674,2872.8497,2886.7416,274639500.0,273281622459.0,0.6035
359,2024-07-26,000001.SH,2885.9953,2899.1162,2875.3959,2890.8973,278387536.0,275443434963.0,0.6116
358,2024-07-29,000001.SH,2889.4726,2898.9512,2878.5825,2891.8453,256899727.0,260094898442.0,0.5643
357,2024-07-30,000001.SH,2885.2152,2885.2152,2865.1493,2879.2996,262478837.0,269477482590.0,0.5765
356,2024-07-31,000001.SH,2877.5409,2940.5927,2876.3009,2938.7493,412723417.0,418871723403.0,0.9065
355,2024-08-01,000001.SH,2940.12,2947.8768,2928.8262,2932.3871,346621137.0,352586120370.0,0.7613
354,2024-08-02,000001.SH,2913.0198,2931.2593,2902.7202,2905.3375,312205039.0,314917985410.0,0.6857
353,2024-08-05,000001.SH,2889.3634,2919.0252,2860.6978,2860.6978,355540572.0,356863001419.0,0.7807
352,2024-08-06,000001.SH,2878.6508,2888.2009,2845.335,2867.2837,297300803.0,295835558778.0,0.6528
351,2024-08-07,000001.SH,2864.0101,2886.9417,2857.7247,2869.8338,263097150.0,263793649805.0,0.5776
350,2024-08-08,000001.SH,2864.758,2886.3994,2850.8745,2869.9014,289128632.0,271107919481.0,0.6348
349,2024-08-09,000001.SH,2879.8726,2887.8489,2862.1941,2862.1941,284253916.0,252884027038.0,0.624
348,2024-08-12,000001.SH,2858.8946,2869.2688,2851.2952,2858.2046,244241371.0,217626684527.0,0.534
347,2024-08-13,000001.SH,2860.4099,2867.946,2845.3099,2867.946,231674601.0,210908509414.0,0.5065
346,2024-08-14,000001.SH,2866.2434,2866.2434,2850.401,2850.6539,217885170.0,207457552385.0,0.4763
345,2024-08-15,000001.SH,2844.2005,2889.0866,2839.3875,2877.3579,271900000.0,254987115635.0,0.5943
344,2024-08-16,000001.SH,2877.9403,2888.6753,2873.0601,2879.4298,263653441.0,243608265392.0,0.5762
343,2024-08-19,000001.SH,2877.9542,2905.1547,2877.7709,2893.6738,261687730.0,242994885290.0,0.5712
