number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
495,2024-01-02,000905.SH,5431.4784,5439.4778,5409.4554,5409.4554,92964747.0,106839922689.0,0.8223
494,2024-01-03,000905.SH,5398.2939,5428.5204,5373.8317,5401.395,86705229.0,99883598918.0,0.7669
493,2024-01-04,000905.SH,5395.1428,5395.1428,5331.892,5355.3216,78846568.0,91011406056.0,0.6974
492,2024-01-05,000905.SH,5347.0727,5373.6788,5260.5939,5281.8711,89538884.0,101084569597.0,0.792
491,2024-01-08,000905.SH,5268.2339,5268.9787,5167.6997,5167.6997,83785155.0,92792791380.0,0.7411
490,2024-01-09,000905.SH,5176.1129,5220.4578,5152.9987,5180.653,78740418.0,90959823752.0,0.6965
489,2024-01-10,000905.SH,5167.7319,5211.8158,5118.4332,5158.0784,71173946.0,84227807644.0,0.6295
488,2024-01-11,000905.SH,5152.359,5243.1387,5146.8978,5223.8633,85041295.0,106151947192.0,0.7522
487,2024-01-12,000905.SH,5213.1356,5262.6165,5206.1607,5206.178,76619831.0,93271394880.0,0.6777
486,2024-01-15,000905.SH,5189.5279,5238.9581,5171.2399,5193.2956,73925097.0,88027788850.0,0.6538
485,2024-01-16,000905.SH,5188.3692,5210.0834,5124.0823,5190.3975,83070371.0,92337607305.0,0.7347
484,2024-01-17,000905.SH,5180.9251,5180.9251,5061.5395,5061.5395,78741849.0,87930639305.0,0.6964
483,2024-01-18,000905.SH,5033.1032,5069.2295,4924.6815,5066.9579,118751055.0,123436419725.0,1.0495
482,2024-01-19,000905.SH,5056.4765,5084.2902,5014.7667,5018.4332,78467383.0,92039421274.0,0.6935
481,2024-01-22,000905.SH,5008.6804,5008.7672,4753.6302,4780.9748,109708492.0,115622857135.0,0.969
480,2024-01-23,000905.SH,4771.4963,4889.4223,4727.8806,4865.743,99944718.0,107808853142.0,0.8828
479,2024-01-24,000905.SH,4886.2037,4941.4403,4766.8035,4933.7009,114025805.0,112683270495.0,1.0069
478,2024-01-25,000905.SH,4931.6273,5074.4943,4910.9591,5073.1779,132307766.0,134822852027.0,1.1683
477,2024-01-26,000905.SH,5055.2878,5086.129,5009.9729,5027.0932,117009836.0,119232918978.0,1.0329
476,2024-01-29,000905.SH,5032.1113,5050.1092,4927.9137,4927.9137,116876657.0,117835011091.0,1.0311
475,2024-01-30,000905.SH,4898.3613,4939.3511,4810.099,4814.9908,99675811.0,95474113526.0,0.8794
474,2024-01-31,000905.SH,4786.8128,4832.401,4690.9429,4696.9796,121093158.0,116592536773.0,1.0677
473,2024-02-01,000905.SH,4667.9126,4771.0465,4629.9901,4678.7308,111471910.0,107508825588.0,0.9828
472,2024-02-02,000905.SH,4686.0999,4724.0488,4435.5569,4563.2221,137501832.0,124953077789.0,1.2123
471,2024-02-05,000905.SH,4527.7091,4598.0608,4281.2399,4460.2635,165958337.0,143547017412.0,1.4632
470,2024-02-06,000905.SH,4411.298,4817.1179,4405.3085,4805.9013,173058335.0,156485198829.0,1.5258
469,2024-02-07,000905.SH,4813.9545,5110.8041,4813.2326,5109.5685,227198934.0,212618286128.0,2.0032
468,2024-02-08,000905.SH,5131.8032,5367.2243,5129.7843,5150.2288,213676123.0,212255665094.0,1.8839
